612)      ,211418,expert pedolog
613)      ,211419,inspector de specialitate pedolog
614)      ,211420,referent de specialitate pedolog
615)      ,211421,inginer geolog
616)      ,211422,geolog
617)      ,211423,geofizician
618)      ,211424,hidrolog
619)      ,211425,pedolog
620)      ,211426,cercetător în geologie
621)      ,211427,asistent de cercetare în geologie
622)      ,211428,cercetător în geologie tehnică
623)      ,211429,asistent de cercetare în geologie tehnică
624)      ,211430,cercetător în geofizică
625)      ,211431,asistent de cercetare în geofizică
626)      ,211432,cercetător în mineralogia tehnică şi experimentală
627)      ,211433,asistent de cercetare în mineralogia tehnică şi experimentală
628)      ,211434,cercetător în geochimie
629)      ,211435,asistent de cercetare în geochimie
630)      ,211436,cercetător în geologie petrolieră
631)      ,211437,asistent de cercetare în geologie petrolieră
632)      ,211438,cercetător în geodezie
633)      ,211439,inginer de cercetare în geodezie
634)      ,211440,asistent de cercetare în geodezie
635)      ,211441,geomorfolog
636)      ,211442,
637)      ,211443,
638)      ,211444,"cercetător ştiinţific în domeniul hidrologiei, hidrogeologiei şi gospodăririi apelor"
639)      ,211445,"asistent de cercetare ştiinţifică în domeniul hidrologiei, hidrogeologiei şi gospodăririi apelor"
640)      ,211446,hidrogeolog
641)      ,212001,consilier matematician
642)      ,212002,expert matematician
643)      ,212003,inspector de specialitate matematician
644)      ,212004,referent de specialitate matematician
